taxon_key,taxon_name,common_name,genus,species
600006,Coryphaena hippurus,Common dolphinfish,Coryphaena,hippurus
600020,Argentina sphyraena,European argentine,Argentina,sphyraena
600024,Clupea harengus,Atlantic herring,Clupea,harengus
600026,Glyptocephalus cynoglossus,Witch flounder,Glyptocephalus,cynoglossus
600027,Lepidorhombus boscii,Fourspot megrim,Lepidorhombus,boscii
600028,Lepidorhombus whiffiagonis,Megrim,Lepidorhombus,whiffiagonis
600029,Merlangius merlangus,Whiting,Merlangius,merlangus
600030,Merluccius merluccius,European hake,Merluccius,merluccius
600031,Micromesistius poutassou,Blue whiting,Micromesistius,poutassou
600032,Microchirus variegatus,Thickback sole,Microchirus,variegatus
600033,Molva molva,Ling,Molva,molva
600034,Pollachius pollachius,Pollack,Pollachius,pollachius
600045,Atherina presbyter,Sand smelt,Atherina,presbyter
600047,Belone belone,Garfish,Belone,belone
600051,Brosme brosme,Tusk,Brosme,brosme
600054,Capros aper,Boarfish,Capros,aper
600056,Cepola macrophthalma,Red bandfish,Cepola,macrophthalma
600058,Coris julis,Mediterranean rainbow wrasse,Coris,julis
600059,Symphodus melops,Corkwing wrasse,Symphodus,melops
600061,Ctenolabrus rupestris,Goldsinny wrasse,Ctenolabrus,rupestris
600062,Cyclopterus lumpus,Lumpfish,Cyclopterus,lumpus
600063,Dicentrarchus labrax,European seabass,Dicentrarchus,labrax
600066,Engraulis encrasicolus,European anchovy,Engraulis,encrasicolus
600068,Eutrigla gurnardus,Grey gurnard,Eutrigla,gurnardus
600069,Gadus morhua,Atlantic cod,Gadus,morhua
600071,Caranx hippos,Crevalle jack,Caranx,hippos
600076,Helicolenus dactylopterus,Blackbelly rosefish,Helicolenus,dactylopterus
600078,Istiophorus albicans,Atlantic sailfish,Istiophorus,albicans
600088,Lamna nasus,Porbeagle,Lamna,nasus
600090,Cetorhinus maximus,Basking shark,Cetorhinus,maximus
600093,Auxis rochei,Bullet tuna,Auxis,rochei
600094,Auxis thazard,Frigate tuna,Auxis,thazard
600097,Euthynnus alletteratus,Little tunny,Euthynnus,alletteratus
600101,Alosa alosa,Allis shad,Alosa,alosa
600107,Katsuwonus pelamis,Skipjack tuna,Katsuwonus,pelamis
600108,Orcynopsis unicolor,Plain bonito,Orcynopsis,unicolor
600115,Sarda sarda,Atlantic bonito,Sarda,sarda
600118,Scomber scombrus,Atlantic mackerel,Scomber,scombrus
600138,Somniosus microcephalus,Greenland shark,Somniosus,microcephalus
600139,Squalus acanthias,Piked dogfish,Squalus,acanthias
600142,Thunnus alalunga,Albacore,Thunnus,alalunga
600143,Thunnus albacares,Yellowfin tuna,Thunnus,albacares
600146,Thunnus obesus,Bigeye tuna,Thunnus,obesus
600147,Thunnus thynnus,Atlantic bluefin tuna,Thunnus,thynnus
600203,Boops boops,Bogue,Boops,boops
600204,Sarpa salpa,Salema,Sarpa,salpa
600216,Makaira nigricans,Blue marlin,Makaira,nigricans
600219,Kajikia albida,Atlantic white marlin,Kajikia,albida
600220,Tetrapturus pfluegeri,Longbill spearfish,Tetrapturus,pfluegeri
600226,Xiphias gladius,Swordfish,Xiphias,gladius
600230,Alepocephalus bairdii,Bairds slickhead,Alepocephalus,bairdii
600231,Coregonus albula,Vendace,Coregonus,albula
600236,Salmo salar,Atlantic salmon,Salmo,salar
600238,Salmo trutta,Sea trout,Salmo,trutta
600247,Salvelinus alpinus alpinus,Arctic char,Salvelinus,alpinus alpinus
600249,Centrolophus niger,Rudderfish,Centrolophus,niger
600250,Schedophilus ovalis,Imperial blackfish,Schedophilus,ovalis
600252,Mallotus villosus,Capelin,Mallotus,villosus
600301,Conger conger,European conger,Conger,conger
600313,Urophycis tenuis,White hake,Urophycis,tenuis
600314,Eleginus nawaga,Navaga,Eleginus,nawaga
600319,Boreogadus saida,Polar cod,Boreogadus,saida
600331,Macrourus berglax,Roughhead grenadier,Macrourus,berglax
600332,Coryphaenoides rupestris,Roundnose grenadier,Coryphaenoides,rupestris
600333,Macroramphosus scolopax,Longspine snipefish,Macroramphosus,scolopax
600334,Hoplostethus atlanticus,Orange roughy,Hoplostethus,atlanticus
600336,Zenopsis conchifer,Silvery John dory,Zenopsis,conchifer
600349,Polyprion americanus,Wreckfish,Polyprion,americanus
600364,Pomatomus saltatrix,Bluefish,Pomatomus,saltatrix
600391,Brama brama,Atlantic pomfret,Brama,brama
600394,Dicentrarchus punctatus,Spotted seabass,Dicentrarchus,punctatus
600398,Plectorhinchus mediterraneus,Rubberlip grunt,Plectorhinchus,mediterraneus
